Location_o,Distance_km
Somalwada-1(Ongoing work by NIT),16.96971300943863
Somalwada-1(Ongoing work by NIT),21.70657966395729
Somalwada-1(Ongoing work by NIT),34.68889458787982
Somalwada-2 (Ongoing work by NIT),21.677726268117784
Somalwada-2 (Ongoing work by NIT),35.00431308514198
Somalwada-2 (Ongoing work by NIT),16.91364517977993
Sonegaon (NIT),16.140417873348984
Ambazari (NIT),14.522213067435708
Dabha(NIT),14.744080295562657
Dabha(NIT),39.886009203415995
Dabha(NIT),10.2672544397514
Sonegaon (NIT),21.04481953348664
Sonegaon (NIT),36.905650044228295
Ambazari (NIT),39.57683065547864
Ambazari (NIT),19.447401535207543
Mokshadham,15.744666400321163
Mokshadham,31.402269858557197
Mokshadham,11.163534900258881
Bhandewadi,16.423222079598045
Bhandewadi,13.181007867836033
Bhandewadi,24.906013921283744
Bhandewadi,25.145314520153185
Bhandewadi,12.96338358136549
Bhandewadi,16.256658536942425
Nagpur road,32.977182686579404
Nagpur road,4.179102189710139
Nagpur road,33.15994161508945
Kachimet (NIT),12.363604420978076
Kachimet (NIT),17.233791323450106
Kachimet (NIT),39.07222917642624
Hazari Pahad (NIT),10.714210784069088
Hazari Pahad (NIT),38.30811602187801
Hazari Pahad (NIT),15.554513930546815
Ittabhatti(NIT),11.482447916667862
Ittabhatti(NIT),7.846292879769693
Ittabhatti(NIT),27.597082602672522
Mankapur,5.633041365876973
Mankapur,32.88924999950763
Mankapur,10.549431991618807
